Diversity-Index,BLK_Percent,Amrican_indian/Alk_native_Percent,Asian_percent,Hawaiian/Pacific_Islander_Percent,Two_or_more_percent,His/Latino_Percent,white_percent,County,Code,Year,State
0.769346,7.4,13.8,31.1,2.3,4.8,14.6,29.2,Aleutians West Census Area,AK,2013,Alaska
0.742224,20.9,1.3,25.2,0.2,2.7,28.0,26.7,Queens County,NY,2013,New York
0.740757,0.8,0.6,28.8,10.6,23.3,10.7,31.5,Maui County,HI,2013,Hawaii
0.740399,12.4,1.2,28.2,1.0,5.2,22.7,33.2,Alameda County,CA,2013,California
0.738867,7.7,21.8,41.4,0.7,3.7,13.5,12.9,Aleutians East Borough,AK,2013,Alaska
0.738772,0.8,0.6,22.1,12.7,29.5,12.2,30.7,Hawaii County,HI,2013,Hawaii
0.736427,21.2,0.6,18.4,0.1,2.0,24.0,35.6,Fort Bend County,TX,2013,Texas
0.7314609999999999,2.3,0.4,37.7,10.0,23.1,9.8,23.0,HAWAII,,2013,
0.730326,0.7,0.5,31.3,9.1,24.6,10.5,30.3,Kauai County,HI,2013,Hawaii
0.725821,14.9,1.3,15.4,1.0,6.7,25.2,40.0,Solano County,CA,2013,California
0.71441,3.0,0.4,42.6,9.4,21.7,9.2,19.7,Honolulu County,HI,2013,Hawaii
0.704067,24.7,39.5,0.7,0.1,2.5,8.0,26.8,Robeson County,NC,2013,North Carolina
0.702974,26.3,0.8,11.2,0.1,2.4,20.4,41.6,Gwinnett County,GA,2013,Georgia
0.6987479999999999,0.9,36.6,5.6,1.4,15.9,3.1,37.1,Yakutat City and Borough,AK,2013,Alaska
0.694312,2.9,1.4,34.1,0.5,4.0,26.8,33.9,Santa Clara County,CA,2013,California
0.692349,35.4,1.0,11.7,0.1,2.3,19.6,36.0,Kings County,NY,2013,New York
0.691029,3.0,0.9,26.9,1.6,4.4,25.4,41.1,San Mateo County,CA,2013,California
0.6908989999999999,15.0,1.3,9.7,0.3,3.7,34.7,39.4,Manassas Park city,VA,2013,Virginia
0.69039,23.1,1.1,5.7,0.1,1.7,39.0,31.7,Dallas County,TX,2013,Texas
0.6878029999999999,18.6,0.7,14.9,0.1,3.1,18.3,47.0,Montgomery County,MD,2013,Maryland
0.687281,10.8,1.6,15.4,1.2,5.9,22.3,47.3,Sacramento County,CA,2013,California
0.686497,9.6,1.0,15.9,0.6,5.0,24.9,46.3,Contra Costa County,CA,2013,California
0.686301,34.1,9.6,1.5,0.4,4.1,12.2,41.4,Hoke County,NC,2013,North Carolina
0.6852229999999999,8.1,2.0,15.7,0.7,5.1,40.1,34.6,San Joaquin County,CA,2013,California
0.6849689999999999,24.6,0.8,6.9,0.1,1.8,24.7,43.4,Cook County,IL,2013,Illinois
0.6821229999999999,19.5,1.1,6.8,0.1,1.7,41.6,31.9,Harris County,TX,2013,Texas
0.681277,21.4,1.1,8.2,0.2,4.2,21.5,46.7,Prince William County,VA,2013,Virginia
0.681081,15.1,1.2,15.0,0.2,2.5,42.9,29.8,Hudson County,NJ,2013,New Jersey
0.679829,6.0,0.8,34.4,0.5,4.1,15.3,41.6,San Francisco County,CA,2013,California
0.678917,11.0,0.6,23.5,0.1,2.0,19.5,46.4,Middlesex County,NJ,2013,New Jersey
0.678912,25.1,1.4,3.4,0.2,3.1,27.1,42.7,Wyandotte County,KS,2013,Kansas
0.678237,28.5,0.4,3.6,0.1,2.0,26.9,40.8,Broward County,FL,2013,Florida
0.674524,6.6,1.7,14.1,0.5,3.7,38.4,39.0,CALIFORNIA,,2013,
0.6730659999999999,11.5,1.2,9.6,0.8,4.2,30.0,46.1,Clark County,NV,2013,Nevada
0.671218,22.0,0.6,5.4,0.2,2.4,28.7,44.1,Orange County,FL,2013,Florida
0.669656,23.4,0.7,5.2,0.1,1.9,29.3,43.2,Union County,NJ,2013,New Jersey
0.667849,0.0,0.0,8.9,47.8,15.6,1.1,26.7,Kalawao County,HI,2013,Hawaii
0.6672859999999999,41.9,0.7,5.1,0.1,2.2,21.7,32.7,Essex County,NJ,2013,New Jersey
0.665746,1.3,13.0,20.3,1.0,6.8,8.4,51.4,Kodiak Island Borough,AK,2013,Alaska
0.663094,2.1,1.1,19.2,0.4,3.2,34.2,42.6,Orange County,CA,2013,California
0.662891,15.6,1.3,5.7,0.3,3.6,32.9,44.7,Manassas city,VA,2013,Virginia
0.6618649999999999,9.2,1.5,14.6,0.4,2.9,48.3,27.2,Los Angeles County,CA,2013,California
0.661628,34.4,1.0,3.8,0.1,1.5,18.5,42.9,Jefferson County,TX,2013,Texas
0.660503,24.5,0.8,8.7,0.2,2.9,21.3,47.5,Suffolk County,MA,2013,Massachusetts
