,id,Median_HHI,state_code,county_code
0,0500000US01001,58786,1,1
1,0500000US01003,55962,1,3
2,0500000US01005,34186,1,5
3,0500000US01007,45340,1,7
4,0500000US01009,48695,1,9
5,0500000US01011,32152,1,11
6,0500000US01013,39109,1,13
7,0500000US01015,45197,1,15
8,0500000US01017,39872,1,17
9,0500000US01019,41014,1,19
10,0500000US01021,45182,1,21
11,0500000US01023,34884,1,23
12,0500000US01025,36127,1,25
13,0500000US01027,41225,1,27
14,0500000US01029,40188,1,29
15,0500000US01031,53155,1,31
16,0500000US01033,47558,1,33
17,0500000US01035,33177,1,35
18,0500000US01037,38301,1,37
19,0500000US01039,40601,1,39
20,0500000US01041,39812,1,41
21,0500000US01043,42558,1,43
22,0500000US01045,45960,1,45
23,0500000US01047,31602,1,47
24,0500000US01049,39233,1,49
25,0500000US01051,59347,1,51
26,0500000US01053,35000,1,53
27,0500000US01055,44023,1,55
28,0500000US01057,37458,1,57
29,0500000US01059,40459,1,59
30,0500000US01061,38142,1,61
31,0500000US01063,21804,1,63
32,0500000US01065,30571,1,65
33,0500000US01067,48610,1,67
34,0500000US01069,45496,1,69
35,0500000US01071,39816,1,71
36,0500000US01073,51979,1,73
37,0500000US01075,36756,1,75
38,0500000US01077,46265,1,77
39,0500000US01079,44515,1,79
40,0500000US01081,48056,1,81
41,0500000US01083,56460,1,83
42,0500000US01085,30833,1,85
43,0500000US01087,32074,1,87
44,0500000US01089,63417,1,89
45,0500000US01091,32809,1,91
46,0500000US01093,35392,1,93
47,0500000US01095,42490,1,95
48,0500000US01097,46166,1,97
49,0500000US01099,30141,1,99
50,0500000US01101,47990,1,101
51,0500000US01103,49751,1,103
52,0500000US01105,23561,1,105
53,0500000US01107,37458,1,107
54,0500000US01109,34678,1,109
55,0500000US01111,41449,1,111
56,0500000US01113,40978,1,113
57,0500000US01115,54887,1,115
58,0500000US01117,75761,1,117
59,0500000US01119,23132,1,119
60,0500000US01121,41012,1,121
61,0500000US01123,43361,1,123
62,0500000US01125,52221,1,125
63,0500000US01127,41748,1,127
64,0500000US01129,40794,1,129
65,0500000US01131,27237,1,131
66,0500000US01133,38504,1,133
67,0500000US02013,69706,2,13
68,0500000US02016,85517,2,16
69,0500000US02020,83280,2,20
70,0500000US02050,54212,2,50
71,0500000US02060,84688,2,60
72,0500000US02068,84196,2,68
73,0500000US02070,58750,2,70
74,0500000US02090,77095,2,90
75,0500000US02100,64342,2,100
76,0500000US02105,63603,2,105
77,0500000US02110,88213,2,110
78,0500000US02122,66684,2,122
79,0500000US02130,70356,2,130
80,0500000US02150,78281,2,150
81,0500000US02158,35539,2,158
82,0500000US02164,46406,2,164
83,0500000US02170,75905,2,170
84,0500000US02180,58987,2,180
85,0500000US02185,75431,2,185
86,0500000US02188,62949,2,188
87,0500000US02195,66907,2,195
88,0500000US02198,54191,2,198
89,0500000US02220,71534,2,220
90,0500000US02230,72237,2,230
91,0500000US02240,71541,2,240
92,0500000US02261,82306,2,261
93,0500000US02275,57583,2,275
94,0500000US02282,65833,2,282
95,0500000US02290,40000,2,290
96,0500000US04001,32963,4,1
97,0500000US04003,48649,4,3
98,0500000US04005,57616,4,5
99,0500000US04007,42092,4,7
100,0500000US04009,51352,4,9
101,0500000US04011,60962,4,11
102,0500000US04012,33333,4,12
103,0500000US04013,61606,4,13
104,0500000US04015,43266,4,15
105,0500000US04017,40054,4,17
106,0500000US04019,51037,4,19
107,0500000US04021,55550,4,21
108,0500000US04023,40467,4,23
109,0500000US04025,50180,4,25
110,0500000US04027,44058,4,27
111,0500000US05001,39466,5,1
112,0500000US05003,39635,5,3
113,0500000US05005,41481,5,5
114,0500000US05007,64141,5,7
115,0500000US05009,43262,5,9
116,0500000US05011,39510,5,11
117,0500000US05013,44022,5,13
118,0500000US05015,43505,5,15
119,0500000US05017,33051,5,17
120,0500000US05019,39752,5,19
121,0500000US05021,33935,5,21
122,0500000US05023,43391,5,23
123,0500000US05025,42460,5,25
124,0500000US05027,36148,5,27
125,0500000US05029,41196,5,29
126,0500000US05031,45868,5,31
127,0500000US05033,46619,5,33
128,0500000US05035,39002,5,35
129,0500000US05037,43838,5,37
130,0500000US05039,36628,5,39
131,0500000US05041,30234,5,41
132,0500000US05043,43014,5,43
133,0500000US05045,51930,5,45
134,0500000US05047,39463,5,47
135,0500000US05049,36184,5,49
136,0500000US05051,43146,5,51
137,0500000US05053,51920,5,53
138,0500000US05055,47497,5,55
139,0500000US05057,41355,5,57
140,0500000US05059,41262,5,59
141,0500000US05061,35900,5,61
142,0500000US05063,43523,5,63
143,0500000US05065,40218,5,65
144,0500000US05067,33174,5,67
145,0500000US05069,38289,5,69
146,0500000US05071,37170,5,71
147,0500000US05073,32412,5,73
148,0500000US05075,38528,5,75
149,0500000US05077,28367,5,77
150,0500000US05079,45166,5,79
151,0500000US05081,45388,5,81
152,0500000US05083,39748,5,83
153,0500000US05085,57509,5,85
154,0500000US05087,43891,5,87
155,0500000US05089,35518,5,89
156,0500000US05091,41903,5,91
157,0500000US05093,37237,5,93
158,0500000US05095,35190,5,95
159,0500000US05097,37855,5,97
160,0500000US05099,37635,5,99
161,0500000US05101,39896,5,101
162,0500000US05103,34887,5,103
163,0500000US05105,46071,5,105
164,0500000US05107,29263,5,107
165,0500000US05109,37406,5,109
166,0500000US05111,39277,5,111
167,0500000US05113,37035,5,113
168,0500000US05115,41914,5,115
169,0500000US05117,41846,5,117
170,0500000US05119,50093,5,119
171,0500000US05121,36870,5,121
172,0500000US05123,35356,5,123
173,0500000US05125,62152,5,125
174,0500000US05127,35509,5,127
175,0500000US05129,36390,5,129
176,0500000US05131,43240,5,131
177,0500000US05133,46667,5,133
178,0500000US05135,33708,5,135
179,0500000US05137,36162,5,137
180,0500000US05139,44000,5,139
181,0500000US05141,36897,5,141
182,0500000US05143,49629,5,143
183,0500000US05145,43822,5,145
184,0500000US05147,31023,5,147
185,0500000US05149,42361,5,149
186,0500000US06001,92574,6,1
187,0500000US06003,64688,6,3
188,0500000US06005,61198,6,5
189,0500000US06007,48443,6,7
190,0500000US06009,58151,6,9
191,0500000US06011,56704,6,11
192,0500000US06013,93712,6,13
193,0500000US06015,45258,6,15
194,0500000US06017,80582,6,17
195,0500000US06019,51261,6,19
196,0500000US06021,47395,6,21
197,0500000US06023,45528,6,23
198,0500000US06025,45834,6,25
199,0500000US06027,52874,6,27
200,0500000US06029,52479,6,29
201,0500000US06031,53865,6,31
202,0500000US06033,42475,6,33
203,0500000US06035,56362,6,35
204,0500000US06037,64251,6,37
205,0500000US06039,52884,6,39
206,0500000US06041,110217,6,41
207,0500000US06043,51199,6,43
208,0500000US06045,49233,6,45
209,0500000US06047,50129,6,47
210,0500000US06049,45149,6,49
211,0500000US06051,63018,6,51
212,0500000US06053,66676,6,53
213,0500000US06055,84753,6,55
214,0500000US06057,63240,6,57
215,0500000US06059,85398,6,59
216,0500000US06061,84357,6,61
217,0500000US06063,53270,6,63
218,0500000US06065,63948,6,65
219,0500000US06067,63902,6,67
220,0500000US06069,81977,6,69
221,0500000US06071,60164,6,71
222,0500000US06073,74855,6,73
223,0500000US06075,104552,6,75
224,0500000US06077,61145,6,77
225,0500000US06079,70699,6,79
226,0500000US06081,113776,6,81
227,0500000US06083,71657,6,83
228,0500000US06085,116178,6,85
229,0500000US06087,78041,6,87
230,0500000US06089,50905,6,89
231,0500000US06091,48125,6,91
232,0500000US06093,44200,6,93
233,0500000US06095,77609,6,95
234,0500000US06097,76753,6,97
235,0500000US06099,57387,6,99
236,0500000US06101,56955,6,101
237,0500000US06103,42899,6,103
238,0500000US06105,38497,6,105
239,0500000US06107,47518,6,107
240,0500000US06109,56493,6,109
241,0500000US06111,84017,6,111
242,0500000US06113,65923,6,113
243,0500000US06115,52624,6,115
244,0500000US08001,67575,8,1
245,0500000US08003,39191,8,3
246,0500000US08005,73925,8,5
247,0500000US08007,50753,8,7
248,0500000US08009,37500,8,9
249,0500000US08011,34392,8,11
250,0500000US08013,78642,8,13
251,0500000US08014,89624,8,14
252,0500000US08015,54580,8,15
253,0500000US08017,55227,8,17
254,0500000US08019,69936,8,19
255,0500000US08021,34746,8,21
256,0500000US08023,30593,8,23
257,0500000US08025,37586,8,25
258,0500000US08027,44644,8,27
259,0500000US08029,44512,8,29
260,0500000US08031,63793,8,31
261,0500000US08033,41714,8,33
262,0500000US08035,115314,8,35
263,0500000US08037,84685,8,37
264,0500000US08039,96658,8,39
265,0500000US08041,65334,8,41
266,0500000US08043,46296,8,43
267,0500000US08045,72898,8,45
268,0500000US08047,75120,8,47
269,0500000US08049,70469,8,49
270,0500000US08051,54979,8,51
271,0500000US08053,52188,8,53
272,0500000US08055,36705,8,55
273,0500000US08057,48828,8,57
274,0500000US08059,78943,8,59
275,0500000US08061,39784,8,61
276,0500000US08063,51046,8,63
277,0500000US08065,46918,8,65
278,0500000US08067,64372,8,67
279,0500000US08069,67664,8,69
280,0500000US08071,41945,8,71
281,0500000US08073,49423,8,73
282,0500000US08075,48922,8,75
283,0500000US08077,53683,8,77
284,0500000US08079,61058,8,79
285,0500000US08081,52807,8,81
286,0500000US08083,46797,8,83
287,0500000US08085,48739,8,85
288,0500000US08087,51626,8,87
289,0500000US08089,34136,8,89
290,0500000US08091,62230,8,91
291,0500000US08093,66861,8,93
292,0500000US08095,50724,8,95
293,0500000US08097,71244,8,97
294,0500000US08099,40097,8,99
295,0500000US08101,44634,8,101
296,0500000US08103,55543,8,103
297,0500000US08105,38639,8,105
298,0500000US08107,74273,8,107
299,0500000US08109,34410,8,109
300,0500000US08111,46563,8,111
301,0500000US08113,64478,8,113
302,0500000US08115,45188,8,115
303,0500000US08117,77589,8,117
304,0500000US08119,65382,8,119
305,0500000US08121,49375,8,121
306,0500000US08123,70908,8,123
307,0500000US08125,48394,8,125
308,0500000US09001,92969,9,1
309,0500000US09003,72321,9,3
310,0500000US09005,78314,9,5
311,0500000US09007,84761,9,7
312,0500000US09009,67128,9,9
313,0500000US09011,71368,9,11
314,0500000US09013,84916,9,13
315,0500000US09015,64774,9,15
316,0500000US10001,58775,10,1
317,0500000US10003,70996,10,3
318,0500000US10005,60853,10,5
319,0500000US11001,82604,11,1
320,0500000US12001,49078,12,1
321,0500000US12003,61769,12,3
322,0500000US12005,51829,12,5
323,0500000US12007,46197,12,7
324,0500000US12009,54359,12,9
325,0500000US12011,57333,12,11
326,0500000US12013,38609,12,13
327,0500000US12015,49225,12,15
328,0500000US12017,41424,12,17
329,0500000US12019,62653,12,19
330,0500000US12021,65675,12,21
331,0500000US12023,44491,12,23
332,0500000US12027,35057,12,27
333,0500000US12029,38237,12,29
334,0500000US12031,53473,12,31
335,0500000US12033,49286,12,33
336,0500000US12035,53872,12,35
337,0500000US12037,42855,12,37
338,0500000US12039,40922,12,39
339,0500000US12041,42357,12,41
340,0500000US12043,39879,12,43
341,0500000US12045,44291,12,45
342,0500000US12047,34583,12,47
343,0500000US12049,37594,12,49
344,0500000US12051,40728,12,51
345,0500000US12053,46030,12,53
346,0500000US12055,37314,12,55
347,0500000US12057,56137,12,57
348,0500000US12059,38608,12,59
349,0500000US12061,52336,12,61
350,0500000US12063,39002,12,63
351,0500000US12065,48173,12,65
352,0500000US12067,39543,12,67
353,0500000US12069,51884,12,69
354,0500000US12071,54691,12,71
355,0500000US12073,51201,12,73
356,0500000US12075,37634,12,75
357,0500000US12077,37363,12,77
358,0500000US12079,35509,12,79
359,0500000US12081,56036,12,81
360,0500000US12083,43361,12,83
361,0500000US12085,57959,12,85
362,0500000US12086,48982,12,86
363,0500000US12087,67023,12,87
364,0500000US12089,66297,12,89
365,0500000US12091,62048,12,91
366,0500000US12093,40367,12,93
367,0500000US12095,54335,12,95
368,0500000US12097,50063,12,97
369,0500000US12099,59943,12,99
370,0500000US12101,50417,12,101
371,0500000US12103,51454,12,103
372,0500000US12105,48500,12,105
373,0500000US12107,35649,12,107
374,0500000US12109,77323,12,109
375,0500000US12111,49373,12,111
376,0500000US12113,66242,12,113
377,0500000US12115,58644,12,115
