,Median_HHI,NAME,state_code,county_code
Value,58786,"Autauga County, Alabama",01,001
Value,55962,"Baldwin County, Alabama",01,003
Value,34186,"Barbour County, Alabama",01,005
Value,45340,"Bibb County, Alabama",01,007
Value,48695,"Blount County, Alabama",01,009
Value,32152,"Bullock County, Alabama",01,011
Value,39109,"Butler County, Alabama",01,013
Value,45197,"Calhoun County, Alabama",01,015
Value,39872,"Chambers County, Alabama",01,017
Value,41014,"Cherokee County, Alabama",01,019
Value,45182,"Chilton County, Alabama",01,021
Value,34884,"Choctaw County, Alabama",01,023
Value,36127,"Clarke County, Alabama",01,025
Value,41225,"Clay County, Alabama",01,027
Value,40188,"Cleburne County, Alabama",01,029
Value,53155,"Coffee County, Alabama",01,031
Value,47558,"Colbert County, Alabama",01,033
Value,33177,"Conecuh County, Alabama",01,035
Value,38301,"Coosa County, Alabama",01,037
Value,40601,"Covington County, Alabama",01,039
Value,39812,"Crenshaw County, Alabama",01,041
Value,42558,"Cullman County, Alabama",01,043
Value,45960,"Dale County, Alabama",01,045
Value,31602,"Dallas County, Alabama",01,047
Value,39233,"DeKalb County, Alabama",01,049
Value,59347,"Elmore County, Alabama",01,051
Value,35000,"Escambia County, Alabama",01,053
Value,44023,"Etowah County, Alabama",01,055
Value,37458,"Fayette County, Alabama",01,057
Value,40459,"Franklin County, Alabama",01,059
Value,38142,"Geneva County, Alabama",01,061
Value,21804,"Greene County, Alabama",01,063
Value,30571,"Hale County, Alabama",01,065
Value,48610,"Henry County, Alabama",01,067
Value,45496,"Houston County, Alabama",01,069
Value,39816,"Jackson County, Alabama",01,071
Value,51979,"Jefferson County, Alabama",01,073
Value,36756,"Lamar County, Alabama",01,075
Value,46265,"Lauderdale County, Alabama",01,077
Value,44515,"Lawrence County, Alabama",01,079
Value,48056,"Lee County, Alabama",01,081
Value,56460,"Limestone County, Alabama",01,083
Value,30833,"Lowndes County, Alabama",01,085
Value,32074,"Macon County, Alabama",01,087
Value,63417,"Madison County, Alabama",01,089
